Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Points,MU_goals
17-18,8/19/2017,Swansea,Man United,0,4,A,0,1,6,17,1,8,12,11,3,5,1,1,0,0,3,4
17-18,8/26/2017,Man United,Leicester,2,0,H,0,0,22,11,7,4,8,7,9,3,1,2,0,0,3,2
17-18,9/9/2017,Stoke,Man United,2,2,D,1,1,10,18,5,8,10,10,5,11,0,0,0,0,1,2
17-18,9/17/2017,Man United,Everton,4,0,H,1,0,16,7,7,3,15,14,4,1,1,1,0,0,3,4
17-18,9/23/2017,Southampton,Man United,0,1,A,0,1,14,9,4,4,12,9,8,4,1,4,0,0,3,1
17-18,9/30/2017,Man United,Crystal Palace,4,0,H,2,0,18,6,7,1,6,9,6,5,0,0,0,0,3,4
17-18,10/14/2017,Liverpool,Man United,0,0,D,0,0,19,6,5,1,7,13,7,3,0,2,0,0,1,0
17-18,10/21/2017,Huddersfield,Man United,2,1,H,2,0,5,9,3,3,10,12,4,7,4,2,0,0,0,1
17-18,10/28/2017,Man United,Tottenham,1,0,H,0,0,11,13,3,4,12,14,6,3,1,0,0,0,3,1
17-18,11/5/2017,Chelsea,Man United,1,0,H,0,0,18,10,8,2,16,20,4,7,1,3,0,0,0,0
17-18,11/18/2017,Man United,Newcastle,4,1,H,2,1,16,12,7,5,10,9,11,4,1,1,0,0,3,4
17-18,11/25/2017,Man United,Brighton,1,0,H,0,0,15,8,4,2,9,9,5,0,0,2,0,0,3,1
17-18,11/28/2017,Watford,Man United,2,4,A,0,3,12,15,3,7,12,10,5,5,2,1,0,0,3,4
17-18,12/2/2017,Arsenal,Man United,1,3,A,0,2,33,8,15,4,11,10,12,1,3,2,0,1,3,3
17-18,12/10/2017,Man United,Man City,1,2,A,1,1,8,14,5,7,16,10,2,8,4,2,0,0,0,1
17-18,12/13/2017,Man United,Bournemouth,1,0,H,1,0,9,14,2,7,14,12,4,9,1,2,0,0,3,1
17-18,12/17/2017,West Brom,Man United,1,2,A,0,2,12,8,5,3,14,7,6,3,1,3,0,0,3,2
17-18,12/23/2017,Leicester,Man United,2,2,D,1,1,11,19,3,6,19,8,4,6,2,2,1,0,1,2
17-18,12/26/2017,Man United,Burnley,2,2,D,0,2,23,3,6,2,10,14,12,2,3,7,0,0,1,2
17-18,12/30/2017,Man United,Southampton,0,0,D,0,0,15,8,3,3,12,13,10,7,2,4,0,0,1,0
17-18,1/1/2018,Everton,Man United,0,2,A,0,0,12,21,0,6,11,10,6,6,2,0,0,0,3,2
17-18,1/15/2018,Man United,Stoke,3,0,H,2,0,20,11,9,5,14,10,6,1,2,1,0,0,3,3
17-18,1/20/2018,Burnley,Man United,0,1,A,0,0,13,12,2,2,7,12,5,4,3,3,0,0,3,1
17-18,1/31/2018,Tottenham,Man United,2,0,H,2,0,22,6,6,3,10,13,6,3,2,2,0,0,0,0
17-18,2/3/2018,Man United,Huddersfield,2,0,H,0,0,16,4,7,0,5,19,5,2,2,4,0,0,3,2
17-18,2/11/2018,Newcastle,Man United,1,0,H,0,0,10,13,3,6,12,15,0,10,0,2,0,0,0,0
17-18,2/25/2018,Man United,Chelsea,2,1,H,1,1,10,14,5,7,13,12,3,4,2,2,0,0,3,2
17-18,3/5/2018,Crystal Palace,Man United,2,3,A,1,0,10,17,4,8,10,8,3,7,1,3,0,0,3,3
17-18,3/10/2018,Man United,Liverpool,2,1,H,2,0,5,14,2,2,10,16,1,13,2,1,0,0,3,2
17-18,3/31/2018,Man United,Swansea,2,0,H,2,0,11,3,5,2,5,13,3,3,0,0,0,0,3,2
17-18,4/7/2018,Man City,Man United,2,3,A,2,0,20,5,6,4,17,9,8,4,6,3,0,0,3,3
17-18,4/15/2018,Man United,West Brom,0,1,A,0,0,14,10,4,4,8,13,4,4,1,1,0,0,0,0
17-18,4/18/2018,Bournemouth,Man United,0,2,A,0,1,13,13,2,4,9,8,8,5,3,1,0,0,3,2
17-18,4/29/2018,Man United,Arsenal,2,1,H,1,0,17,8,3,3,12,7,9,0,0,1,0,0,3,2
17-18,5/4/2018,Brighton,Man United,1,0,H,0,0,11,16,4,3,5,3,5,6,2,0,0,0,0,0
17-18,5/10/2018,West Ham,Man United,0,0,D,0,0,9,16,2,6,12,12,1,6,1,1,0,0,1,0
17-18,5/13/2018,Man United,Watford,1,0,H,1,0,7,7,1,3,6,11,6,5,4,0,0,0,3,1
18-19,8/10/2018,Man United,Leicester,2,1,H,1,0,8,13,6,4,11,8,2,5,2,1,0,0,3,2
18-19,8/19/2018,Brighton,Man United,3,2,H,3,1,6,9,3,3,16,13,3,5,1,1,0,0,0,2
18-19,8/27/2018,Man United,Tottenham,0,3,A,0,0,23,9,5,5,11,16,5,2,2,4,0,0,0,0
18-19,9/2/2018,Burnley,Man United,0,2,A,0,2,9,21,2,9,7,13,2,5,2,3,0,1,3,2
18-19,9/15/2018,Watford,Man United,1,2,A,0,2,14,9,5,6,9,11,6,8,2,1,0,1,3,2
18-19,9/22/2018,Man United,Wolves,1,1,D,1,0,15,11,6,8,5,17,5,4,1,1,0,0,1,1
18-19,9/29/2018,West Ham,Man United,3,1,H,2,0,8,9,3,4,12,12,4,9,0,1,0,0,0,1
18-19,10/6/2018,Man United,Newcastle,3,2,H,0,2,18,13,10,8,16,8,10,6,2,2,0,0,3,3
18-19,10/20/2018,Chelsea,Man United,2,2,D,1,0,21,7,6,4,9,17,5,3,2,5,0,0,1,2
18-19,10/28/2018,Man United,Everton,2,1,H,1,0,14,14,10,6,15,12,8,4,2,1,0,0,3,2
